index,E,theta,E',x,Q2,sigma (ub),eps,W2,Gamma_v,stat,%stat_u,syst,%syst_u,rad1,%rad1_c,rad2,%rad2_c,y,y+,xq4/2/pi/a2/y+/hc2,det,sig_r
26,5.648,22.566,2.67,0.41319,2.3091,0.01087,0.722,4.16,0.0004755,0.000103,0.9475620975160994,0.000141,1.297148114075437,1.7e-05,0.15639374425023,8.48e-06,0.07801287948482061,0.5272662889518414,1.259647497827177,13424.62286460202,1.501477451320477,0.2191040738524151
27,5.648,18.566,3.912,0.7057,2.2995,0.009698,0.89,1.839,0.0005176,0.000132,1.361105382553104,0.000117,1.206434316353887,3.48e-05,0.3588368735821819,3.58e-05,0.369148277995463,0.3073654390934844,1.515746784679393,18896.27180154692,0.3497727261418674,0.0640979660678603
28,5.648,22.566,2.644,0.40554,2.2864,0.01094,0.717,4.232,0.0004783,0.000105,0.9597806215722121,0.000143,1.307129798903108,1.65e-05,0.1508226691042048,8.26e-06,0.07550274223034736,0.531869688385269,1.25495244440871,12966.61715909315,1.558331915469102,0.2210568493002446
29,5.648,18.566,3.874,0.68399,2.2773,0.0105,0.887,1.932,0.0005528,0.000131,1.247619047619048,0.000125,1.19047619047619,3.83e-05,0.3647619047619047,4.19e-05,0.399047619047619,0.3140934844192634,1.506131972690595,18077.69497226551,0.372391218721523,0.07068573605517799
30,5.648,22.566,2.617,0.39802,2.2636,0.01116,0.713,4.304,0.000481,0.000106,0.9498207885304659,0.000146,1.308243727598566,1.61e-05,0.1442652329749104,7.18e-06,0.06433691756272401,0.5366501416430595,1.250160403172113,12521.4425208181,1.618573788297312,0.2261783657994823
31,5.648,18.566,3.836,0.66319,2.2551,0.01182,0.884,2.026,0.0005857,0.000135,1.142131979695431,0.000138,1.16751269035533,4.31e-05,0.3646362098138747,4.78e-05,0.4043993231810491,0.3208215297450425,1.496607633588345,17297.26585393372,0.396183888719164,0.08100125495360833
32,5.648,22.566,2.591,0.39063,2.2408,0.01127,0.708,4.376,0.0004835,0.000107,0.9494232475598935,0.000148,1.313220940550133,1.57e-05,0.1393078970718722,7.04e-06,0.06246672582076309,0.5412535410764872,1.245553013514262,12087.19158921986,1.680032243113689,0.2288584429160186
33,5.648,18.566,3.798,0.64324,2.2329,0.01446,0.881,2.119,0.0006165,0.000154,1.065006915629322,0.000164,1.134163208852005,5.43e-05,0.3755186721991701,6.68e-05,0.4619640387275242,0.3275495750708215,1.487173340513174,16552.58537948733,0.421210228998734,0.1008168303029883
34,5.648,22.566,2.565,0.38336,2.2181,0.01145,0.704,4.448,0.0004858,0.000108,0.9432314410480348,0.000151,1.318777292576419,1.41e-05,0.1231441048034935,0.0,0.0,0.545856940509915,1.240985598724972,11665.89695285642,1.74395206498419,0.2329475601754659
35,5.648,18.566,3.76,0.62409,2.2106,0.01922,0.878,2.212,0.0006451,0.000193,1.004162330905307,0.000211,1.097814776274714,7.87e-05,0.4094693028095733,0.000102,0.5306971904266389,0.3342776203966006,1.477830807470545,15840.12764336426,0.4475299510544536,0.1362492643704558
36,5.648,22.566,2.538,0.37622,2.1953,0.01171,0.699,4.52,0.000488,0.000111,0.9479077711357814,0.000155,1.323654995730145,1.55e-05,0.1323654995730145,6.95e-06,0.05935098206660974,0.5506373937677054,1.236326634064521,11256.72991565336,1.811682448108671,0.238809290332194
37,5.648,18.566,3.723,0.60569,2.1884,0.02041,0.874,2.305,0.0006718,0.000205,1.004409603135718,0.00023,1.126898579127878,6.81e-05,0.3336599706026457,8.96e-05,0.439000489955904,0.340828611898017,1.468774374976713,15158.7910359036,0.4748347327522202,0.1469095572086566
38,5.648,22.566,2.512,0.3692,2.1726,0.0118,0.694,4.592,0.00049,0.000112,0.9491525423728813,0.000157,1.330508474576271,1.5e-05,0.1271186440677966,0.0,0.0,0.5552407932011331,1.231847026243577,10858.76166014473,1.880831593286191,0.2409973235335072
39,5.648,18.566,3.685,0.588,2.1662,0.01765,0.871,2.398,0.0006965,0.000183,1.036827195467422,0.000211,1.195467422096317,4.09e-05,0.231728045325779,5.48e-05,0.3104815864022663,0.347556657223796,1.459609123155677,14509.54178075357,0.5039189216443309,0.1290503162320939
40,5.648,22.566,2.486,0.3623,2.1498,0.01205,0.69,4.664,0.0004919,0.000113,0.937759336099585,0.000161,1.336099585062241,1.91e-05,0.15850622406639,6.76e-06,0.05609958506224066,0.5598441926345609,1.227412214828936,10471.04070206866,1.952754251004794,0.2463907993830759
41,5.648,18.566,3.647,0.57098,2.144,0.01764,0.867,2.491,0.0007194,0.000181,1.026077097505669,0.000214,1.213151927437642,3.52e-05,0.199546485260771,4.23e-05,0.239795918367347,0.3542847025495751,1.450534183607361,13888.59545127266,0.5344974205946438,0.1309491013589997
42,5.648,22.566,2.46,0.3555,2.1271,0.01212,0.685,4.737,0.0004936,0.000113,0.9323432343234322,0.000163,1.344884488448845,2.4e-05,0.198019801980198,0.0,0.0,0.5644475920679887,1.223015868733781,10094.8336266998,2.027677047759644,0.2480850368432347
43,5.648,18.566,3.609,0.55459,2.1218,0.01893,0.863,2.584,0.0007406,0.000188,0.9931325937665082,0.00023,1.21500264131009,3.98e-05,0.2102482831484416,4.75e-05,0.2509244585314316,0.3610127478753541,1.441549251712424,13294.35516849363,0.5666481744661132,0.1426038941056048
44,5.648,22.566,2.433,0.34882,2.1044,0.01235,0.68,4.809,0.0004951,0.000114,0.9230769230769231,0.000167,1.352226720647773,1.89e-05,0.1530364372469636,6.68e-06,0.05408906882591093,0.5692280453257791,1.218531726306968,9730.540405450503,2.107136525099071,0.2532191771513719
